instruction,input,output,topic,severity
What contraception can I start postpartum?,,"Options include condoms, progestin-only pills, IUDs, implants, and later combined pills if safe for you. Some methods can start before the 6-week visit. Ask your clinician which fits breastfeeding and your health.",postpartum_recovery,green
Can I shower with my C-section incision?,,"Yes, you can usually shower and let water run over the incision. Pat dry, keep it clean, and avoid soaking in baths or pools until your clinician clears you. If you see spreading redness or drainage, call your clinician.",postpartum_recovery,green
How much can I lift after a C-section?,,"For the first weeks, avoid lifting more than your baby and skip heavy chores. Increase gradually as pain allows. If you feel pulling, sharp pain, or see wound changes, ease off and contact your clinician.",postpartum_recovery,green
Does my baby need vitamin D if I’m breastfeeding?,,Breastfed babies generally need 400 IU of vitamin D daily. Use infant drops as directed. Formula-fed babies usually don’t need extra once they drink enough formula. Ask your pediatric clinician if unsure.,newborn_care,green
What’s the safest way to make infant formula?,,"Wash hands, use clean bottles, follow the scoop-per-water directions, and use safe water per your local guidance. Mix well, test temperature on your wrist, and refrigerate prepared bottles within 2 hours. Discard leftover milk from a feed.",newborn_care,green
How do we protect our newborn during RSV and cold season?,,"Limit close contact with sick people, wash hands often, clean high-touch surfaces, and avoid crowded indoor spaces when possible. Ask visitors to delay if ill. Talk to your pediatric clinician about available preventives for high-risk infants.",safety,green
I have scary intrusive thoughts but no intent to act.,,"Intrusive thoughts are common and distressing. They are not actions. Write them down, practice grounding and pass the baby to a trusted person if needed. Contact your clinician within 24–48 hours to discuss therapy or medication options.",mental_health,yellow
How can I make a basic safety plan for tough moments?,,"Identify early warning signs, list coping steps (breathing, music, short walk), and name three people you can call. Keep emergency numbers visible. If you ever feel unsafe or consider harm, call 911 immediately.",mental_health,green
Visitors keep kissing my baby. Is that okay?,,"Ask visitors to wash hands, avoid kissing the baby’s face and hands, and stay away if sick. Newborns are vulnerable to infections. If your baby develops fever ≥100.4°F (38.0°C) in the first 3 months, seek emergency care.",safety,green
I’m soaking through one pad an hour and feel light-headed.,,"Emergency. Call 911 or go to the emergency department now. Lie down, use a fresh pad, and save any clots if possible.",postpartum_recovery,red
I have a severe headache and I’m seeing spots.,,Emergency. Call 911 or go to the emergency department now. Sit or lie down and avoid exertion.,postpartum_recovery,red
I have a fever on day 5 after delivery.,,"This can have several causes after birth. I see why you’re concerned. Contact your clinician today for evaluation. Drink fluids, rest, and keep notes on your temperature and symptoms. Note any breast, incision, or pelvic pain to share. Go to the emergency department if you feel increasingly unwell, develop chest pain, shortness of breath, a severe headache with vision changes, or bleeding becomes heavy.",postpartum_recovery,yellow
I have chest pain and I’m short of breath.,,"Emergency. Call 911 or go to the emergency department now. Sit upright, loosen tight clothing, and avoid exertion.",postpartum_recovery,red
One calf is swollen and painful.,,Emergency. Call 911 or go to the emergency department now. Keep the leg still and do not massage.,postpartum_recovery,red
I have fever and a painful red wedge on my breast.,,"Mastitis can begin this way. I understand this is painful. Contact your clinician today for assessment and possible antibiotics. Continue to empty the breast every 2–3 hours, start with the sore side if tolerated, and use cold packs after feeds and pain relief as directed. Go to the emergency department for high fever with shaking chills, rapidly spreading redness, or if you feel very unwell.",breastfeeding,yellow
I’m having thoughts of harming myself.,,Emergency. Call 911 or go to the emergency department now. Stay with a trusted adult and remove access to potential means while you seek help.,mental_health,red
I feel detached from my baby and numb.,,"Emotional numbness can follow sleep loss and stress. It’s a valid thing to notice. Contact your clinician today to discuss mood support. Keep basic routines, eat and hydrate regularly, and share how you feel with a trusted person. Go to the emergency department if you develop thoughts of harming yourself or your baby.",mental_health,yellow
What temperature is a fever in a newborn?,,"Fever in a newborn means a rectal temperature of 100.4°F (38.0°C) or higher. It’s reasonable to want a clear number. Use a digital rectal thermometer and avoid ear or forehead readings at this age. Keep the baby comfortably dressed and monitor behavior. If the rectal temperature reaches 100.4°F (38.0°C) or higher, go to the emergency department; otherwise call your pediatric clinician with concerns.",newborn_care,green
My 2-week-old is very sleepy and hard to wake for feeds.,,Emergency. Call 911 or go to the emergency department now. Try gentle stimulation and keep the baby warm and upright while help is on the way.,newborn_care,red
My baby is breathing fast with chest pulling in.,,Emergency. Call 911 or go to the emergency department now. Keep the baby upright and avoid feeding while breathing looks hard.,newborn_care,red
My baby doesn’t respond to loud sounds.,,"Hearing responses can vary in early weeks. It’s understandable to be concerned. Arrange a hearing recheck with your pediatric clinician within 24–48 hours. Reduce background noise during play, use gentle rattles on each side, and watch for startle or turning. Go to the emergency department if the baby is also difficult to arouse, has fever, or shows signs of head injury.",development_1to3mo,yellow
Should I call the clinic or go to the ER?,,"If you are uncertain, start with the clinic. That creates a clear trail for advice. Call your clinician’s office today and ask for nurse triage. Describe timing, severity, and any red-flag symptoms. Use the emergency department for sudden severe symptoms such as trouble breathing, chest pain, heavy bleeding, fainting, bluish color, or a rectal fever of 100.4°F (38.0°C) or higher in a newborn.",admin,yellow
My lochia smells foul and I feel feverish.,,"Postpartum infection can cause foul discharge and feverish feelings. That deserves timely care. Contact your clinician today. Rest, hydrate, and track your temperature and bleeding. Go to the emergency department if you soak a pad in under an hour, pass golf-ball-sized clots, develop severe abdominal pain, or feel faint.",postpartum_recovery,yellow
Baby hasn’t peed for 8 hours.,,"Low urine output can signal dehydration. Your concern is reasonable. Offer a feed now and contact your pediatric clinician today for guidance. Track wet diapers and behavior. Go to the emergency department if the mouth is dry, there are no tears when crying, the soft spot looks sunken, the baby is very sleepy or listless, or urine remains scarce.",newborn_care,yellow
What if my baby rolls while swaddled?,,"Rolling while swaddled increases suffocation risk. Good catch bringing this up. Stop swaddling now and use a wearable sleep sack. Always place the baby on the back on a firm, empty crib. Discuss safe sleep with your pediatric clinician within 24 hours. Go to the emergency department if any breathing difficulty, bluish color, or an injury occurs.",safety,yellow
Baby vomited forcefully across the room.,,"Projectile vomiting can be a sign of blockage. Your caution is appropriate. Contact your pediatric clinician today for evaluation. Pause feeds and keep the baby upright until advised. Go to the emergency department now if vomit is green (bile), bloody, the belly looks swollen, or the baby seems lethargic or very uncomfortable.",newborn_care,yellow
I feel dizzy and my heart is racing.,,Emergency. Call 911 or go to the emergency department now. Lie down and take slow breaths.,postpartum_recovery,red
Baby has a rectal temperature of 100.6°F (38.1°C).,,Emergency. Call 911 or go to the emergency department now. Keep the baby lightly dressed and do not give medicine unless told by a clinician.,newborn_care,red
Baby has only 3 wet diapers today.,,"That diaper count can be low depending on age. It’s appropriate to check. Offer a feed now and contact your pediatric clinician today to review intake and diaper goals. By day 5, many babies have about six or more wet diapers daily. Go to the emergency department if there are signs of dehydration such as dry mouth, no tears, a sunken soft spot, extreme sleepiness, or very little urine despite feeding.",newborn_care,yellow
I have chills and body aches on day 6.,,"Those symptoms can follow a viral illness or early breast infection. It makes sense this feels worrying. Contact your clinician today for evaluation. Rest, hydrate, and check for breast redness, tender lumps, or incisional changes. Use pain relief as directed. Go to the emergency department for high fever with shaking chills, rapidly worsening pain, or if you feel very unwell.",postpartum_recovery,yellow
